task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
457	96/71577a	1202349	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.292	14.8s	12s	287.0%	131.1 MB	8.4 GB	77.6 MB	88 KB
473	e0/7812cc	1202368	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.530	9.6s	6.1s	243.4%	94 MB	8.2 GB	40.9 MB	125 KB
482	06/bfa606	1202370	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.588	9.5s	6.3s	267.3%	71.4 MB	8.2 GB	41 MB	791.7 KB
478	4d/e25ea3	1202371	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:53.626	9.5s	5.8s	276.7%	98.6 MB	8.2 GB	40.9 MB	114.1 KB
471	c1/f992fe	1202367	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.497	9.6s	6s	235.6%	68.5 MB	8.2 GB	41 MB	1.1 MB
477	9e/951e35	1202372	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:53.652	9.5s	5.8s	236.8%	63.3 MB	8.2 GB	41 MB	574.3 KB
483	39/d57493	1202376	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.750	9.4s	6.9s	239.4%	110.5 MB	8.2 GB	41 MB	347.2 KB
486	55/e63c43	1202379	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.868	9.3s	5.7s	258.7%	102.6 MB	8.2 GB	40.9 MB	42.8 KB
488	2c/77084c	1202381	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.926	9.3s	5.7s	236.7%	64.4 MB	8.2 GB	41 MB	1.2 MB
490	e5/4609db	1202383	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:53.982	9.2s	5.8s	279.6%	116.5 MB	8.2 GB	41 MB	282.9 KB
493	9c/b52fbe	1202387	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:54.081	9.1s	5.7s	267.5%	112.4 MB	8.2 GB	40.9 MB	40.5 KB
496	54/406863	1202389	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:54.131	9.1s	5.6s	268.9%	114.5 MB	8.2 GB	41 MB	864.3 KB
497	a4/eefd14	1202390	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_3)	COMPLETED	0	2024-11-07 17:54:54.156	9s	5.3s	384.8%	108.4 MB	8.2 GB	41 MB	735.9 KB
500	c4/bf5316	1202393	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.170	5s	20ms	133.3%	0	0	570.9 KB	386 KB
501	5e/8f4534	1202394	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.198	5s	16ms	122.5%	0	0	275.6 KB	135 KB
503	4c/c423e6	1202396	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.246	5s	54ms	113.8%	1.5 MB	3.9 MB	3.9 MB	3.2 MB
502	11/60c902	1202395	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.223	5s	29ms	108.8%	1.5 MB	3.9 MB	1.1 MB	892.1 KB
504	20/58f384	1202397	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.268	5s	42ms	112.6%	1.5 MB	3.9 MB	2.2 MB	1.8 MB
505	6a/12bf62	1202398	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:58.291	4.9s	70ms	67.6%	3.1 MB	10.8 MB	3.1 MB	2.5 MB
445	2a/478547	1202337	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_1)	COMPLETED	0	2024-11-07 17:54:44.227	23.9s	21s	172.7%	203.9 MB	8.3 GB	126.3 MB	61.3 KB
350	d8/7bb625	1202246	NFCORE_HIC:HIC:COMPARTMENTS:COOLTOOLS_EIGSCIS (MJ21_5)	COMPLETED	0	2024-11-07 17:54:24.849	43.3s	39s	152.9%	230.6 MB	8.4 GB	277.5 MB	152.3 KB
360	dd/3df076	1202254	NFCORE_HIC:HIC:COMPARTMENTS:COOLTOOLS_EIGSCIS (MJ21_6)	COMPLETED	0	2024-11-07 17:54:25.059	43.1s	40s	173.5%	234.6 MB	8.3 GB	277.5 MB	152.4 KB
375	c8/a38c37	1202268	NFCORE_HIC:HIC:COMPARTMENTS:COOLTOOLS_EIGSCIS (MJ21_7)	COMPLETED	0	2024-11-07 17:54:33.282	34.8s	34s	185.2%	216 MB	8.3 GB	274.3 MB	134.7 KB
475	9e/609909	1202364	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_4)	COMPLETED	0	2024-11-07 17:54:53.300	14.8s	11s	299.1%	127.5 MB	8.4 GB	77.6 MB	86.6 KB
